day,variant,count
0,variant_0,999
1,variant_0,1000
2,variant_0,1000
3,variant_0,1000
4,variant_0,1000
5,variant_0,1000
6,variant_0,1000
7,variant_0,1000
8,variant_0,1000
9,variant_0,1000
10,variant_0,1000
11,variant_0,1000
12,variant_0,1000
13,variant_0,1000
14,variant_0,1000
15,variant_0,1000
16,variant_0,1000
17,variant_0,999
18,variant_0,1000
19,variant_0,1000
20,variant_0,1000
21,variant_0,999
22,variant_0,1000
23,variant_0,1000
24,variant_0,999
25,variant_0,999
26,variant_0,999
27,variant_0,999
28,variant_0,998
29,variant_0,1000
30,variant_0,997
31,variant_0,998
32,variant_0,999
33,variant_0,994
34,variant_0,995
35,variant_0,995
36,variant_0,993
37,variant_0,988
38,variant_0,990
39,variant_0,987
40,variant_0,992
41,variant_0,988
42,variant_0,985
43,variant_0,978
44,variant_0,982
45,variant_0,984
46,variant_0,975
47,variant_0,982
48,variant_0,962
49,variant_0,961
50,variant_0,963
51,variant_0,939
52,variant_0,952
53,variant_0,933
54,variant_0,912
55,variant_0,902
56,variant_0,912
57,variant_0,873
58,variant_0,863
59,variant_0,844
60,variant_0,809
61,variant_0,786
62,variant_0,755
63,variant_0,752
64,variant_0,726
65,variant_0,683
66,variant_0,653
67,variant_0,624
68,variant_0,588
69,variant_0,552
70,variant_0,514
71,variant_0,439
72,variant_0,442
73,variant_0,382
74,variant_0,337
75,variant_0,318
76,variant_0,299
77,variant_0,267
78,variant_0,242
79,variant_0,214
80,variant_0,196
81,variant_0,149
82,variant_0,135
83,variant_0,114
84,variant_0,96
85,variant_0,93
86,variant_0,87
87,variant_0,69
88,variant_0,64
89,variant_0,61
90,variant_0,35
91,variant_0,40
92,variant_0,36
93,variant_0,28
94,variant_0,33
95,variant_0,24
96,variant_0,18
97,variant_0,19
98,variant_0,8
99,variant_0,17
100,variant_0,12
101,variant_0,5
102,variant_0,15
103,variant_0,9
104,variant_0,3
105,variant_0,2
106,variant_0,5
107,variant_0,8
108,variant_0,1
109,variant_0,4
110,variant_0,3
111,variant_0,1
112,variant_0,0
113,variant_0,1
114,variant_0,2
115,variant_0,0
116,variant_0,3
117,variant_0,0
118,variant_0,1
119,variant_0,0
120,variant_0,1
121,variant_0,0
122,variant_0,1
123,variant_0,0
124,variant_0,0
125,variant_0,1
126,variant_0,0
127,variant_0,0
128,variant_0,0
129,variant_0,0
130,variant_0,0
131,variant_0,0
132,variant_0,0
133,variant_0,0
134,variant_0,0
135,variant_0,0
136,variant_0,0
137,variant_0,0
138,variant_0,0
139,variant_0,0
140,variant_0,0
141,variant_0,0
142,variant_0,0
143,variant_0,0
144,variant_0,0
145,variant_0,0
146,variant_0,0
147,variant_0,0
148,variant_0,0
149,variant_0,0
150,variant_0,0
151,variant_0,0
152,variant_0,0
153,variant_0,0
154,variant_0,0
155,variant_0,0
156,variant_0,0
157,variant_0,0
158,variant_0,0
159,variant_0,0
160,variant_0,0
161,variant_0,0
162,variant_0,0
163,variant_0,0
164,variant_0,0
165,variant_0,0
166,variant_0,0
167,variant_0,0
168,variant_0,0
169,variant_0,0
170,variant_0,0
171,variant_0,0
172,variant_0,0
173,variant_0,0
174,variant_0,0
175,variant_0,0
176,variant_0,0
177,variant_0,0
178,variant_0,0
179,variant_0,0
180,variant_0,0
181,variant_0,0
182,variant_0,0
183,variant_0,0
184,variant_0,0
185,variant_0,0
186,variant_0,0
187,variant_0,0
188,variant_0,0
189,variant_0,0
190,variant_0,0
191,variant_0,0
192,variant_0,0
193,variant_0,0
194,variant_0,0
195,variant_0,0
196,variant_0,0
197,variant_0,0
198,variant_0,0
199,variant_0,0
200,variant_0,0
201,variant_0,0
202,variant_0,0
203,variant_0,0
204,variant_0,0
205,variant_0,0
206,variant_0,0
207,variant_0,0
208,variant_0,0
209,variant_0,0
210,variant_0,0
211,variant_0,0
212,variant_0,0
213,variant_0,0
214,variant_0,0
215,variant_0,0
216,variant_0,0
217,variant_0,0
218,variant_0,0
219,variant_0,0
220,variant_0,0
221,variant_0,0
222,variant_0,0
223,variant_0,0
224,variant_0,0
225,variant_0,0
226,variant_0,0
227,variant_0,0
228,variant_0,0
229,variant_0,0
230,variant_0,0
231,variant_0,0
