count,date,nextcladePangoLineage,nextstrainClade
2,2024-01-12,HK.20.1,23F
1,2024-01-25,HK.13,23F
2,2024-01-07,JR.1.1,23F
1,2024-01-18,EG.5.1.16,23F
1,2024-01-02,DV.7.1.4,23C
1,2024-01-11,HK.30,23F
1,2024-02-05,EG.5.1.3,23F
1,2024-01-01,HK.28,23F
1,2024-02-07,EG.5.1.13,23F
1,2024-07-20,BQ.1.3.2,22E
1,2024-01-15,EG.5.1,23F
1,2024-01-05,EG.5.1.14,23F
1,2024-01-05,JR.1.1,23F
2,2024-01-08,HK.13.1,23F
1,2024-02-09,EG.5.1.1,23F
1,2024-01-01,HK.27.1,23F
1,2024-01-02,HK.30,23F
1,2024-01-06,EG.10.1,23D
1,2024-01-01,HK.13.1,23F
2,2024-01-08,JR.1.1,23F
1,2024-01-06,EG.5.1.13,23F
1,2024-01-06,EG.5.1.3,23F
2,2024-01-09,HK.20.1,23F
3,2024-01-04,EG.5.1.1,23F
2,2024-01-03,HK.13,23F
2,2024-01-17,HK.20.1,23F
1,2024-01-06,HK.13,23F
2,2024-01-18,EG.5.1,23F
1,2024-01-16,HK.13.1,23F
1,2024-01-30,HK.6,23F
1,2024-01-04,XDJ,recombinant
1,2024-01-02,HK.13,23F
1,2024-01-03,HK.17,23F
1,2024-01-05,HK.13,23F
1,2024-01-15,EG.5.1.13,23F
2,2024-01-03,DV.7.1.5,23C
1,2024-01-20,EG.5.1,23F
1,2024-01-15,JR.1.1,23F
1,2024-01-12,JR.1.1,23F
1,2024-04-16,CK.1.3,22B
2,2024-01-19,HK.20.1,23F
1,2024-01-26,HK.30,23F
1,2024-01-06,EG.5.1.1,23F
3,2024-01-02,EG.5.1.3,23F
1,2024-01-08,EG.5.1.3,23F
2,2024-01-01,EG.5.1.14,23F
3,2024-01-07,HK.20.1,23F
2,2024-01-18,EG.5.1.13,23F
1,2024-01-24,HK.20.1,23F
1,2024-01-04,HK.20,23F
1,2024-11-27,DV.7.1.4,23C
1,2024-02-01,EG.5.1,23F
1,2024-01-05,BA.2.1,21L
1,2024-01-25,HK.6,23F
1,2024-01-01,HK.13.2.1,23F
1,2024-02-05,EG.5.1.8,23F
1,2024-01-04,HK.13,23F
2,2024-01-02,EG.5.1.16,23F
2,2024-01-04,EG.5.1.14,23F
1,2024-01-20,JR.1.1,23F
1,2024-01-12,HK.13,23F
1,2024-02-18,HK.3,23H
4,2024-01-16,JR.1.1,23F
2,2024-01-18,EG.5.1.3,23F
1,2024-01-18,HK.6,23F
1,2024-08-16,EG.5.1.1,23F
2,2024-01-30,JR.1.1,23F
1,2024-01-10,BA.2.1,21L
1,2024-01-05,EG.5.1.3,23F
1,2024-01-02,HK.13.1,23F
1,2024-02-16,JR.1.1,23F
2,2024-01-04,EG.10.1,23D
1,2024-01-17,EG.10.1,23D
1,2024-01-02,HK.20,23F
2,2024-01-09,HK.27.1,23F
1,2024-01-09,EG.5.1.13,23F
2,2024-01-12,EG.5.1.3,23F
1,2024-01-01,HK.20.1,23F
1,2024-01-02,EG.10.1.1,23D
1,2024-01-07,HK.13,23F
2,2024-01-12,HK.28,23F
2,2024-01-12,HK.13.1,23F
3,2024-01-05,HK.27.1,23F
1,2024-01-06,HK.20.1,23F
2,2024-01-03,EG.5.1.19,23F
1,2024-01-08,EG.5.1.16,23F
4,2024-01-11,HK.20.1,23F
4,2024-01-12,EG.5.1.1,23F
1,2024-01-02,JR.1.1,23F
1,2024-01-05,EG.5.1.15,23F
1,2024-02-01,BA.2.1,21L
1,2024-02-19,HK.20.1,23F
1,2024-02-07,EG.5.1.1,23F
1,2024-02-14,HK.23.1,23F
1,2024-02-01,EG.10.1,23D
1,2024-01-27,EG.5.1.14,23F
1,2024-04-17,CK.1.3,22B
1,2024-01-29,JR.1.1,23F
1,2024-02-02,EG.5.1,23F
1,2024-04-24,EG.5.1.1,23F
2,2024-02-05,EG.5.1,23F
1,2024-02-07,HK.6,23F
1,2024-02-04,EG.5.1.3,23F
1,2024-02-10,JR.1.1.1,23F
1,2024-01-30,HK.20.1,23F
1,2024-01-17,HK.13.2,23F
1,2024-02-07,EG.5.1.3,23F
