seqName,clade,pango_growth,clade_growth,pango_lif,clade_lif,pango_time,clade_time
A.5,19B,0.0,0.0,0.0,0.0,45.18181818181817,150.19930575643622
A.1,19B,0.06162555411192778,0.0,2.6554179166523646,0.0,59.25230602278893,150.19930575643622
A.3,19B,0.06990281596983505,0.0,1.1556577267790982,0.0,63.35018315018315,150.19930575643622
A.2,19B,0.09668930537870446,0.0,-3.8887576726895925,0.0,107.63888888888889,150.19930575643622
A,19B,0.10469873493569827,0.0,-3.5482619228259304,0.0,156.55438596491229,150.19930575643622
A.19,19B,0.11363028652322475,0.0,-10.290942941824097,0.0,246.0,150.19930575643622
A.23,19B,0.11746773322933769,0.0,-10.391664497391835,0.0,283.0,150.19930575643622
A.27,19B,0.14388400165049522,0.0,-19.214030876816953,0.0,392.75,150.19930575643622
A.21,19B,0.14391943418099035,0.0,-17.500727492361126,0.0,392.8222222222222,150.19930575643622
A.28,19B,0.14770037351483944,0.0,-20.860790355447186,0.0,400.1428571428571,150.19930575643622
A.23.1,19B,0.15211765131413163,0.0,-20.040618223220427,0.0,412.15,150.19930575643622
A.29,19B,0.15682744707232948,0.0,-24.99713352701513,0.0,420.40000000000003,150.19930575643622
A.2.5.3,19B,0.17465826033277096,0.0,-31.88329102341475,0.0,450.66666666666663,150.19930575643622
A.2.5,19B,0.18052770425935233,0.0,-30.088301833509416,0.0,462.28136882129274,150.19930575643622
A.2.5.1,19B,0.18059052102068499,0.0,-33.01535129022018,0.0,462.41379310344826,150.19930575643622
A.2.5.2,19B,0.18152225362739807,0.0,-32.204255785898035,0.0,464.3980099502487,150.19930575643622
B.1.371,20C,0.0866513406271722,0.007651817666639879,-0.13774970029424785,1.3194005630805827,80.37551355792934,249.96376972281448
B.1.356,20C,0.08789332282765092,0.007651817666639879,-3.759564981594104,1.3194005630805827,82.61111111111111,249.96376972281448
B.1.319,20C,0.0918769707615607,0.007651817666639879,-1.985210766645764,1.3194005630805827,91.56,249.96376972281448
B.1.320,20C,0.09486805920981872,0.007651817666639879,-0.8983947493307302,1.3194005630805827,100.69367088607595,249.96376972281448
B.1.503,20C,0.10466262263917976,0.007651817666639879,-3.1986508287793147,1.3194005630805827,156.25373134328356,249.96376972281448
B.1.426,20C,0.10514462545383918,0.007651817666639879,-2.005964483171588,1.3194005630805827,160.32797202797204,249.96376972281448
B.1.606,20C,0.10605291000497166,0.007651817666639879,-4.364383943726707,1.3194005630805827,168.35668789808915,249.96376972281448
B.1.336,20C,0.10670218844954191,0.007651817666639879,-3.4181963169023555,1.3194005630805827,174.36283185840705,249.96376972281448
B.1.3,20C,0.10859946203137814,0.007651817666639879,-3.4716201621662273,1.3194005630805827,193.01317957166395,249.96376972281448
B.1.453,20C,0.10933680747543481,0.007651817666639879,-4.077223915376897,1.3194005630805827,200.6135770234987,249.96376972281448
B.1.570,20C,0.11056508323531318,0.007651817666639879,-4.060984924119003,1.3194005630805827,213.54980079681275,249.96376972281448
B.1.499,20C,0.11120001544497664,0.007651817666639879,-6.6106574318146265,1.3194005630805827,220.31111111111113,249.96376972281448
B.1.340,20C,0.11125467301623505,0.007651817666639879,-4.783930550614107,1.3194005630805827,220.8939929328622,249.96376972281448
B.1.428,20C,0.11138513847359777,0.007651817666639879,-7.8192318205683815,1.3194005630805827,222.28571428571425,249.96376972281448
B.1.567,20C,0.11288834181975482,0.007651817666639879,-5.094024652341236,1.3194005630805827,238.24834437086093,249.96376972281448
B.1.509,20C,0.11289986704131708,0.007651817666639879,-3.527879470227053,1.3194005630805827,238.3696551724138,249.96376972281448
B.1.350,20C,0.11371662277205541,0.007651817666639879,-6.815724853153229,1.3194005630805827,246.8939393939394,249.96376972281448
B.1.566,20C,0.11388852176611129,0.007651817666639879,-7.5514643248106905,1.3194005630805827,248.66666666666669,249.96376972281448
B.1.324,20C,0.11541751851439568,0.007651817666639879,-4.569962028970703,1.3194005630805827,264.0031152647975,249.96376972281448
B.1.367,20C,0.11609494820644253,0.007651817666639879,-10.92792233265197,1.3194005630805827,270.5,249.96376972281448
B.1.346,20C,0.11751309719898853,0.007651817666639879,-5.737300087510734,1.3194005630805827,283.3966165413534,249.96376972281448
B.1.587,20C,0.12023638791486857,0.007651817666639879,-6.292754935108076,1.3194005630805827,305.20851688693097,249.96376972281448
B.1.349,20C,0.12067963379298098,0.007651817666639879,-5.606942411721334,1.3194005630805827,308.38411878631376,249.96376972281448
B.1.265,20C,0.12073990092100792,0.007651817666639879,-6.111290505471598,1.3194005630805827,308.8079748163694,249.96376972281448
B.1.361,20C,0.12103543981583686,0.007651817666639879,-6.124189954105672,1.3194005630805827,310.85935984481085,249.96376972281448
B.1.298,20C,0.12137694156349284,0.007651817666639879,-6.857295572990755,1.3194005630805827,313.1742286751361,249.96376972281448
B.1.577,20C,0.12242773878262868,0.007651817666639879,-5.82477492537416,1.3194005630805827,319.93466172381835,249.96376972281448
B.1.605,20C,0.12526058948103966,0.007651817666639879,-9.069858860491816,1.3194005630805827,335.69014084507046,249.96376972281448
B.1.311,20C,0.12616324878683438,0.007651817666639879,-6.374446106360972,1.3194005630805827,340.0504672897196,249.96376972281448
B.1.433,20C,0.12678855336576045,0.007651817666639879,-9.114879198827596,1.3194005630805827,342.90935672514615,249.96376972281448
