method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.007142139837983008,0.010571829998884327,43190.82793263016,72338.62304406629,1000,50,50,0.2005836811275186,0.011904761904761904,5075
BFGS,0.004756257424121921,0.006743513778712735,38074.67305820688,53499.3991354888,1000,50,50,0.28106005114754057,0.011904761904761904,4482
BFGS,0.00665810474688684,0.00866272065485597,34599.06770826141,45685.826957585276,1000,50,50,0.19414075197279038,0.011904761904761904,4326
BFGS,0.004947604031790795,0.008768962752047003,19233.05717063633,31749.3811775694,1000,50,50,0.2465979724781151,0.011904761904761904,3622
BFGS,0.005051305031994504,0.009382997142581144,24545.142806632146,49097.38996135318,1000,50,50,0.21158862173668128,0.011904761904761904,4951
stepwiseBFGS,2.5184903087013067e-05,6.972668855107428e-07,209.11220349606944,7.2537580469854595,1000,50,50,0.2005836811275186,0.011904761904761904,5075
stepwiseBFGS,2.6012896561457455e-05,5.552717073059357e-07,233.4332279324342,3.263098603681268,1000,50,50,0.28106005114754057,0.011904761904761904,4482
stepwiseBFGS,7.356392110055587e-05,7.2862611305135775e-06,986.8345751948498,25.425371087503187,1000,50,50,0.19414075197279038,0.011904761904761904,4326
stepwiseBFGS,1.5275160697788788e-05,3.2829007314050555e-06,45.36430670260919,9.70159550948064,1000,50,50,0.2465979724781151,0.011904761904761904,3622
stepwiseBFGS,5.3295506217836804e-05,8.989986441947815e-07,331.18705118775296,4.153350401384002,1000,50,50,0.21158862173668128,0.011904761904761904,4951
BFGS,0.005668403346480623,0.008932351759288215,12712.361319543461,20189.700857381024,1000,50,50,0.25914868334569574,0.017857142857142856,3194
BFGS,7.423593019728279e-05,2.3224533605221865e-06,419.4549070133912,6.272235920906896,1000,50,50,0.3115052541686052,0.017857142857142856,3138
BFGS,2.8042525918674797e-05,2.7456672077588623e-06,142.15928558344245,7.694451525731527,1000,50,50,0.27369586810822283,0.017857142857142856,3160
BFGS,0.004523856618483247,0.009546693512040629,11929.066268819231,21307.53340023934,1000,50,50,0.273077338001951,0.017857142857142856,2676
BFGS,0.0049444654340197874,0.00833906255507734,18877.138277601724,29442.77255404643,1000,50,50,0.27265620207770874,0.017857142857142856,3283
stepwiseBFGS,4.779921832055502e-05,3.8783487007344875e-06,248.28344465054522,9.415661511822552,1000,50,50,0.25914868334569574,0.017857142857142856,3194
stepwiseBFGS,7.438000846394243e-05,2.3220893281118583e-06,420.54979846642453,6.272527605973894,1000,50,50,0.3115052541686052,0.017857142857142856,3138
stepwiseBFGS,2.703844550884338e-05,2.7532405619043904e-06,139.68336434662405,7.701424867915901,1000,50,50,0.27369586810822283,0.017857142857142856,3160
stepwiseBFGS,9.206477772313952e-05,1.0447115653841441e-06,116.03199113177062,2.9679286244701673,1000,50,50,0.273077338001951,0.017857142857142856,2676
stepwiseBFGS,4.050711356999399e-05,1.7612505758015872e-06,119.10757732192877,5.717189472181589,1000,50,50,0.27265620207770874,0.017857142857142856,3283
