method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.00815291220701183,940.8730654020666,10,50,29,0.6246808146948223,0.07142857142857142,1000
BFGS,0.012451977928120197,899.5245376757715,10,50,30,0.6038258020560306,0.07142857142857142,1000
BFGS,0.012711585065663793,1908.8070083915316,10,50,31,0.7373538819084755,0.07142857142857142,1000
BFGS,0.01332752834410854,740.2555339344655,10,50,30,0.5835082262152586,0.07142857142857142,1000
BFGS,0.011931670995979762,914.698249712026,10,50,35,0.6702639444226277,0.07142857142857142,1000
BFGS,0.011458382050557823,1434.236313669045,10,50,26,0.44583228018278304,0.07142857142857142,1000
BFGS,0.009086528240017544,685.90917351311,10,50,30,0.5356689501583888,0.07142857142857142,1000
BFGS,0.00844802916568534,400.0389023249881,10,50,33,0.5248451696536025,0.07142857142857142,1000
BFGS,0.015254435197083754,1034.9106938080117,10,50,26,0.5082200173766033,0.07142857142857142,1000
BFGS,0.009190584357681861,600.3470401039705,10,50,28,0.5678470581639867,0.07142857142857142,1000
stepwiseBFGS,0.008152911897240895,940.8737053461975,10,50,29,0.6246808146948223,0.07142857142857142,1000
stepwiseBFGS,0.012451770953859879,899.4512066157745,10,50,30,0.6038258020560306,0.07142857142857142,1000
stepwiseBFGS,0.012712077056652414,1908.8869348950736,10,50,31,0.7373538819084755,0.07142857142857142,1000
stepwiseBFGS,0.013327524657692996,740.2558865023212,10,50,30,0.5835082262152586,0.07142857142857142,1000
stepwiseBFGS,0.011932316229583722,915.0307335940576,10,50,35,0.6702639444226277,0.07142857142857142,1000
stepwiseBFGS,0.011458369447006149,1434.2312600512623,10,50,26,0.44583228018278304,0.07142857142857142,1000
stepwiseBFGS,0.009086501773300261,685.9114809076918,10,50,30,0.5356689501583888,0.07142857142857142,1000
stepwiseBFGS,0.008448204570677374,400.0546308167743,10,50,33,0.5248451696536025,0.07142857142857142,1000
stepwiseBFGS,0.015254444089852028,1034.9049722343145,10,50,26,0.5082200173766033,0.07142857142857142,1000
stepwiseBFGS,0.009190590799790645,600.3475015242656,10,50,28,0.5678470581639867,0.07142857142857142,1000
BFGS,0.008187121870279144,564.5354050677217,20,50,36,0.6291619568831864,0.07142857142857142,1000
BFGS,0.010718881251875622,878.5061648982434,20,50,38,0.6056510121181963,0.07142857142857142,1000
BFGS,0.010886520424097301,1227.5061542042263,20,50,36,0.7398855509583865,0.07142857142857142,1000
BFGS,0.00864271623862498,641.2154893155359,20,50,33,0.5841990847657929,0.07142857142857142,1000
BFGS,0.009814360642021161,1263.4157334855101,20,50,40,0.6727884259548368,0.07142857142857142,1000
BFGS,0.015273433774879757,1780.6779334892585,20,50,30,0.4462374879517115,0.07142857142857142,1000
BFGS,0.01942951091055955,931.9057671848251,20,50,32,0.5364915102345126,0.07142857142857142,1000
BFGS,0.01164348158836842,820.8338629135903,20,50,34,0.5258704787896058,0.07142857142857142,1000
BFGS,0.008962938977713095,750.390935473782,20,50,33,0.5099329364333974,0.07142857142857142,1000
BFGS,0.012838837326207244,644.7507890613479,20,50,33,0.5707914933470027,0.07142857142857142,1000
stepwiseBFGS,0.008186933977139906,564.5436299048718,20,50,36,0.6291619568831864,0.07142857142857142,1000
stepwiseBFGS,0.010719168156532483,878.541611328976,20,50,38,0.6056510121181963,0.07142857142857142,1000
stepwiseBFGS,0.010888655421851405,1227.86815005913,20,50,36,0.7398855509583865,0.07142857142857142,1000
stepwiseBFGS,0.008642491044306887,641.2127582031673,20,50,33,0.5841990847657929,0.07142857142857142,1000
stepwiseBFGS,0.009817901007665168,1264.3081273493856,20,50,40,0.6727884259548368,0.07142857142857142,1000
stepwiseBFGS,0.015274902657035428,1781.1632539385164,20,50,30,0.4462374879517115,0.07142857142857142,1000
stepwiseBFGS,0.019447399565342006,933.9311297146536,20,50,32,0.5364915102345126,0.07142857142857142,1000
stepwiseBFGS,0.011643505923550778,820.8338222578586,20,50,34,0.5258704787896058,0.07142857142857142,1000
stepwiseBFGS,0.008962790392622419,750.3660137593847,20,50,33,0.5099329364333974,0.07142857142857142,1000
stepwiseBFGS,0.012836291756152054,644.6860797525696,20,50,33,0.5707914933470027,0.07142857142857142,1000
BFGS,0.01123901345274703,1419.6124136503418,50,50,42,0.6301573625400371,0.07142857142857142,1000
BFGS,0.009719636176336886,735.9602759970184,50,50,40,0.605991094219349,0.07142857142857142,1000
BFGS,0.012837914944451252,1639.8623476795742,50,50,44,0.7419898084052976,0.07142857142857142,1000
BFGS,0.009893741838616356,648.509118125003,50,50,38,0.5853080224484849,0.07142857142857142,1000
BFGS,0.013551361552885145,2023.1566069611617,50,50,45,0.6743596519087851,0.07142857142857142,1000
BFGS,0.017217144045537102,3679.5312666885998,50,50,38,0.4487668221279067,0.07142857142857142,1000
BFGS,0.020139405866317725,2262.9888480786526,50,50,39,0.5374976103418095,0.07142857142857142,1000
BFGS,0.011221867386855367,1131.6193401009693,50,50,41,0.5282140971054118,0.07142857142857142,1000
BFGS,0.011063788735325734,1296.3115609950205,50,50,39,0.5113230576890095,0.07142857142857142,1000
BFGS,0.011807595149985887,806.8977958566616,50,50,37,0.5712761013974219,0.07142857142857142,1000
stepwiseBFGS,0.011237861882776104,1419.3858686640392,50,50,42,0.6301573625400371,0.07142857142857142,1000
stepwiseBFGS,0.009719454831642955,735.9283934127309,50,50,40,0.605991094219349,0.07142857142857142,1000
stepwiseBFGS,0.012838639438329202,1639.979950214497,50,50,44,0.7419898084052976,0.07142857142857142,1000
stepwiseBFGS,0.009893910539495239,648.5316610140311,50,50,38,0.5853080224484849,0.07142857142857142,1000
stepwiseBFGS,0.013546692416714627,2022.5128990740327,50,50,45,0.6743596519087851,0.07142857142857142,1000
stepwiseBFGS,0.01721731645977938,3679.4793268197154,50,50,38,0.4487668221279067,0.07142857142857142,1000
stepwiseBFGS,0.02014587241339973,2263.9145581658872,50,50,39,0.5374976103418095,0.07142857142857142,1000
stepwiseBFGS,0.011221965888597715,1131.6344866404202,50,50,41,0.5282140971054118,0.07142857142857142,1000
stepwiseBFGS,0.01105727711108556,1295.308121233204,50,50,39,0.5113230576890095,0.07142857142857142,1000
stepwiseBFGS,0.011807410760780587,806.8814227761532,50,50,37,0.5712761013974219,0.07142857142857142,1000
BFGS,0.011518393570552964,1221.4831381069828,100,50,45,0.6307288404292628,0.07142857142857142,1000
BFGS,0.006447790179281339,1513.9499443885816,100,50,47,0.6068939953301762,0.07142857142857142,1000
BFGS,0.0083850456790026,1071.5286008264698,100,50,44,0.7419604994590042,0.07142857142857142,1000
BFGS,0.013098393742498167,1344.2625633518076,100,50,45,0.586702683054716,0.07142857142857142,1000
BFGS,0.004646851909509266,1198.640869344677,100,50,47,0.6745727810862953,0.07142857142857142,1000
BFGS,0.015274048936739656,4403.7624123187825,100,50,43,0.449606243977859,0.07142857142857142,1000
BFGS,0.023106517903174348,2490.0045060977336,100,50,43,0.5381548132775978,0.07142857142857142,1000
BFGS,0.011139911124174572,1890.394148079213,100,50,47,0.528873152058396,0.07142857142857142,1000
BFGS,0.009052485249716935,1012.918996033467,100,50,44,0.512169168594168,0.07142857142857142,1000
BFGS,0.019713366361182046,1314.8383755262132,100,50,42,0.5725445751258895,0.07142857142857142,1000
stepwiseBFGS,0.011518242305434374,1221.4709778023553,100,50,45,0.6307288404292628,0.07142857142857142,1000
