method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.008152912020860574,0.008603074252699783,940.8729955588785,1163.7378017768476,10,50,29,0.5730114709570581,0.07142857142857142,943
BFGS,0.012712723589378975,0.012599729275515588,956.6528181494497,967.7205390523127,10,50,30,0.651602695669499,0.07142857142857142,836
BFGS,0.012711584866217209,0.014511042371946352,1908.8071924342394,2247.68028006331,10,50,31,0.6775470005476348,0.07142857142857142,900
BFGS,0.013356900089979197,0.012589528553946927,748.7987571185375,727.71269428088,10,50,30,0.5869764919567285,0.07142857142857142,830
BFGS,0.012121569964030868,0.014700010214142115,985.7738619930562,1160.8823145165554,10,50,35,0.6757525308420265,0.07142857142857142,908
BFGS,0.011458400316054001,0.009917760953189483,1434.2409665112648,1409.1121347468052,10,50,26,0.4205022146450812,0.07142857142857142,968
BFGS,0.009085764733407055,0.008068031654244552,685.5877975650357,402.471485555454,10,50,30,0.5516682178012213,0.07142857142857142,872
BFGS,0.008443786633895351,0.006566280468255002,399.20370131621735,360.9914067085013,10,50,33,0.5996600823133127,0.07142857142857142,857
BFGS,0.015245799095001416,0.016245295670987876,1034.1714140726979,1112.7314339091859,10,50,26,0.49742464547834403,0.07142857142857142,920
BFGS,0.009190191870519464,0.009011137644675114,600.201976981506,575.6448013622758,10,50,28,0.6117174165575573,0.07142857142857142,750
stepwiseBFGS,0.00815291175808408,0.008603069205065522,940.8736336067032,1163.7382789064602,10,50,29,0.5730114709570581,0.07142857142857142,943
stepwiseBFGS,0.012712518560238398,0.012599526363485367,956.58022927812,967.6461460663355,10,50,30,0.651602695669499,0.07142857142857142,836
stepwiseBFGS,0.01271207719909762,0.014511357440721122,1908.8869944788141,2247.73522826263,10,50,31,0.6775470005476348,0.07142857142857142,900
stepwiseBFGS,0.013356896890868164,0.012589531426820193,748.7991811562548,727.7139494510016,10,50,30,0.5869764919567285,0.07142857142857142,830
stepwiseBFGS,0.012122238815474022,0.01470066411865761,986.1122544798411,1161.2449098361944,10,50,35,0.6757525308420265,0.07142857142857142,908
stepwiseBFGS,0.011458369415694874,0.009917749042266983,1434.2312465637212,1409.1077205668375,10,50,26,0.4205022146450812,0.07142857142857142,968
stepwiseBFGS,0.0090857369629457,0.008068000645500102,685.5897557584499,402.4736992098064,10,50,30,0.5516682178012213,0.07142857142857142,872
stepwiseBFGS,0.008443877535035931,0.006566487458345473,399.21918920999826,361.02129190892185,10,50,33,0.5996600823133127,0.07142857142857142,857
stepwiseBFGS,0.0152458080310192,0.016245305409083165,1034.165678549827,1112.7252283544206,10,50,26,0.49742464547834403,0.07142857142857142,920
stepwiseBFGS,0.009190197123657312,0.009011143594740652,600.2022080594982,575.6451385845577,10,50,28,0.6117174165575573,0.07142857142857142,750
BFGS,0.008187044957094682,0.008028774103939745,564.5302200976421,643.1667471618705,20,50,36,0.5771219566335535,0.07142857142857142,943
BFGS,0.010707012560069454,0.009404807233066513,872.8086623146288,988.6699841974337,20,50,38,0.653785961294099,0.07142857142857142,836
BFGS,0.010886516551601017,0.010231859732685597,1227.50605874099,1453.5070461116977,20,50,36,0.679873323107942,0.07142857142857142,900
BFGS,0.008651968166336269,0.01003256609715194,645.1668181973758,814.8996398144576,20,50,33,0.5878088516561674,0.07142857142857142,830
BFGS,0.009857545835006018,0.011753356640943543,1285.4302884796152,1283.2661043191401,20,50,40,0.6785346031333012,0.07142857142857142,908
BFGS,0.015273432032108188,0.014538226586377712,1780.6767683016824,2256.6860635502803,20,50,30,0.4208843992542576,0.07142857142857142,968
BFGS,0.019423799851647442,0.00961925393245078,931.1213827449595,483.02606419018736,20,50,32,0.552611520640813,0.07142857142857142,872
BFGS,0.011535167383728544,0.00857970018895218,797.6385320731254,922.2504898178781,20,50,34,0.6008361370165699,0.07142857142857142,857
BFGS,0.008981461677476238,0.011585461310060784,757.0928518244723,1085.4791380210622,20,50,33,0.49928651401833757,0.07142857142857142,920
BFGS,0.01283825369500691,0.009832836262480318,644.6146590806253,589.9610802641517,20,50,33,0.6148895547282912,0.07142857142857142,750
stepwiseBFGS,0.008186932994499142,0.00802879693693234,564.5433907029835,643.1711698431525,20,50,36,0.5771219566335535,0.07142857142857142,943
stepwiseBFGS,0.010707385535065842,0.00940543439926009,872.852454005817,988.7489529350055,20,50,38,0.653785961294099,0.07142857142857142,836
stepwiseBFGS,0.010888655417545173,0.01023505560328427,1227.8681494746504,1454.0396532500354,20,50,36,0.679873323107942,0.07142857142857142,900
stepwiseBFGS,0.0086516978316053,0.01003251382036818,645.1643239587153,814.8995240744857,20,50,33,0.5878088516561674,0.07142857142857142,830
stepwiseBFGS,0.009861086213540557,0.011758653238394109,1286.3226812400019,1284.533235486341,20,50,40,0.6785346031333012,0.07142857142857142,908
stepwiseBFGS,0.015274900845175302,0.014538640731394336,1781.1620316387518,2257.1064762665933,20,50,30,0.4208843992542576,0.07142857142857142,968
stepwiseBFGS,0.019441667266454365,0.00964295675594388,933.1452087993894,485.7011257910804,20,50,32,0.552611520640813,0.07142857142857142,872
stepwiseBFGS,0.011535191888273249,0.008579764462174063,797.6383651366456,922.2509072167383,20,50,34,0.6008361370165699,0.07142857142857142,857
stepwiseBFGS,0.008981313108391134,0.011585501041378234,757.067924737767,1085.4839321609,20,50,33,0.49928651401833757,0.07142857142857142,920
stepwiseBFGS,0.012835708049461006,0.009828906339438566,644.5499485813359,589.8541616504912,20,50,33,0.6148895547282912,0.07142857142857142,750
BFGS,0.011238945017255142,0.006738187322603577,1419.5813069924848,749.9817784242822,50,50,42,0.5780350278401112,0.07142857142857142,943
