n_samples,n_variants_requested,new_var_rate,gr_mse_mean_BFGS,gr_mse_mean_stepwiseBFGS,gr_mse_mean_reduced_BFGS,gr_mse_mean_reduced_stepwiseBFGS,lif_mse_mean_BFGS,lif_mse_mean_stepwiseBFGS,lif_mse_mean_reduced_BFGS,lif_mse_mean_reduced_stepwiseBFGS,gr_mse_std_BFGS,gr_mse_std_stepwiseBFGS,gr_mse_std_reduced_BFGS,gr_mse_std_reduced_stepwiseBFGS,lif_mse_std_BFGS,lif_mse_std_stepwiseBFGS,lif_mse_std_reduced_BFGS,lif_mse_std_reduced_stepwiseBFGS,n_variants_real_mean,mean_entropy_mean,n_days_mean
10,50,0.07142857142857142,0.011247963317934411,0.01124806322921153,0.01128118910596028,0.011281283470468619,969.4311481700882,969.4660371141229,1012.8684891972129,1012.9051591147165,0.0024008739995657192,0.0024009120653066427,0.0032821411976485903,0.0032822149281423745,433.92881924632167,433.94597618373126,558.6149922303175,558.6351423799422,29.8,0.5845862766768464,878.4
20,50,0.07142857142857142,0.011634220271007476,0.011636453915001108,0.010360684208810911,0.010363622332856806,950.6586241855117,951.0314478276057,1052.091235744816,1052.5789138674822,0.0034604148868924286,0.003464745513927571,0.0018668894190391175,0.0018664583931597997,377.2790247326415,377.50899042025895,521.5893807437179,521.4907467752229,34.5,0.5865632821483333,878.4
50,50,0.07142857142857142,0.012864648306970483,0.012864151819425036,0.00942771059772887,0.009424963054309954,1562.6422738056804,1562.5569856474626,1084.3925809720288,1084.1566144433496,0.0033487297633748607,0.003350652358989031,0.0030491677981941178,0.003045268200478363,916.8600703789767,916.9337305144853,509.58284596973965,509.19177179988924,40.3,0.588021146275496,878.4
100,50,0.07142857142857142,0.012239465225255503,0.01224078282698796,0.009075806863645841,0.009076411609589597,1746.4478828802717,1746.6448227099968,1410.4546309818975,1410.4376290234788,0.005791119566807976,0.0057912587218893604,0.0041877421181104576,0.004188991759281796,1033.4614370914767,1033.469025395563,615.1364087288296,614.9163686974025,44.7,0.5888291408697975,878.4
200,50,0.07142857142857142,0.010449385043235584,0.010448995041257337,0.008020359012051165,0.008020728886886435,1656.3337379014574,1656.2970953596512,1159.4066220161242,1159.4158224212952,0.004855184845962818,0.00485489154575208,0.004456789972818523,0.004457066778301311,976.6112951357939,976.7136036920301,741.3893636633179,741.3958417491054,47.0,0.5891017985661575,878.4
500,50,0.07142857142857142,0.0012931347008208408,0.0012931645772148081,0.0010470229515122404,0.0010470646988167151,332.15676795543953,332.15996402469716,333.66943291559585,333.68284694996464,0.002900601682499712,0.0029007108041063734,0.002820119300358759,0.0028202165884733702,789.9049369882579,789.943730778758,835.093346994453,835.1270422294416,49.8,0.5893553338223322,878.4
1000,50,0.07142857142857142,0.00012697007996662174,0.00012694923392936715,4.308525167942565e-06,4.3051377943391615e-06,20.436486704782887,20.434050756647974,0.8376647903763376,0.8362034814351398,5.606724942925847e-05,5.606245114312647e-05,2.88060094064706e-06,2.8826575143268863e-06,18.588008649803204,18.58495157850066,0.6512528235574284,0.6469367378629051,50.0,0.5893682602071773,878.4
2000,50,0.07142857142857142,6.902330686558304e-05,6.902577519080685e-05,2.226030446022539e-06,2.2336112028289194e-06,11.526787020458604,11.529121610737308,0.380429277336769,0.3820159258914154,3.545417980593501e-05,3.5456343093639396e-05,8.55137135216068e-07,8.622911610258989e-07,9.486617308606135,9.494729567565315,0.19644448333022296,0.19750241577164315,50.0,0.5893682602071773,878.4
5000,50,0.07142857142857142,2.8349252690040888e-05,2.8368871916631157e-05,1.2530020559980998e-06,1.2531550135435257e-06,4.730666975548576,4.7363960663858515,0.23091127105704556,0.23101042786327158,1.1613199216140499e-05,1.1641102073640033e-05,5.03110589348035e-07,5.058209988209157e-07,2.9275274278574135,2.9337684452757427,0.09058616510156692,0.0912202074765739,50.0,0.5893682602071773,878.4
10000,50,0.07142857142857142,1.58843831571681e-05,1.5905399204098358e-05,6.377458656710471e-07,6.377821650027198e-07,3.045386413558112,3.052139049400284,0.160468427005957,0.1603774156885262,1.0010152520703155e-05,1.0022111847186894e-05,6.737916626851005e-07,6.739472134414583e-07,2.6156232264527346,2.623900771176128,0.16100355379578665,0.1608745357806446,50.0,0.5893682602071773,878.4
