seqName	clade
A.1	19B
A	19B
A.2	19B
A.21	19B
A.25	19B
A.29	19B
AD.2	20B
A.5	19B
A.23.1	19B
A.2.5	19B
A.28	19B
A.18	19B
A.27	19B
A.19	19B
A.3	19B
A.23	19B
A.2.5.1	19B
A.2.5.2	19B
AY.3.2	21J
AY.3	21J
AY.2	21I
AT.1	20B
AY.3.1	21J
AY.1	21J
AY.4.1	21J
AY.4.2.1	21J
AY.3.3	21J
AY.4.2.3	21J
AY.4.2	21J
AY.4	21J
AY.4.3	21J
AY.4.2.2	21J
A.2.5.3	19B
AY.4.7	21J
AY.4.5	21J
AY.4.4	21J
AE.1	20B
AY.4.6	21J
AY.4.8	21J
AY.5	21J
AY.4.9	21J
AY.5.1	21J
AY.5.2	21J
AY.4.10	21J
AY.5.3	21J
AY.5.4	21J
AY.6	21J
AY.5.5	21J
AY.14	21A
AY.9.2	21I
AY.7.1	21J
AY.7	21J
AY.8	21A
AY.7.2	21J
AY.10	21I
AY.9.2.2	21I
AY.13	21A
AY.23.1	21J
AY.20	21J
AY.16	21A
AY.15	21A
AY.16.1	21A
AY.17	21A
AY.19	21A
AY.22	21J
AY.20.1	21J
AY.23	21J
AY.24	21I
AY.26	21I
AY.25	21J
AY.25.1	21J
AY.25.1.1	21J
AY.27	21I
AY.11	21I
AY.26.1	21I
AY.9	21I
AY.29	21J
AY.28	21I
AY.32	21J
AY.33	21J
AY.29.1	21J
AY.30	21A
AY.34.1	21J
AY.34	21J
AY.34.1.1	21J
AY.33.1	21J
AY.34.2	21J
AY.35	21A
AY.40	21A
AY.38	21I
AY.37	21I
AY.39	21J
AY.36	21J
AY.39.1	21J
AY.39.1.2	21J
AY.42	21J
AY.43.2	21J
AY.43	21J
AY.42.1	21J
AY.43.1	21J
AY.43.4	21J
AY.41	21J
AY.43.3	21J
AY.43.5	21J
AY.43.6	21J
AY.44	21J
AY.39.2	21J
AY.43.7	21J
AY.45	21J
AY.46.1	21J
AY.46	21J
AY.46.2	21J
AY.46.3	21J
AY.39.1.1	21J
AY.55	21I
AY.48	21A
AY.46.6	21J
AY.46.5	21J
AY.47	21I
AY.50	21A
AY.49	21A
AY.53	21A
AY.54	21A
AY.52	21A
AY.51	21A
AY.56	21I
AY.57	21I
AY.46.4	21J
AY.64	21I
AY.61	21I
AY.58	21I
AY.59	21I
AY.60	21I
AY.65	21I
AY.63	21I
AY.67	21I
AY.62	21I
AY.71	21I
AY.68	21I
AY.70	21I
AY.69	21I
AY.74	21I
AY.73	21I
AY.72	21I
AY.66	21I
AY.75	21I
AY.76	21J
AY.81	21J
AY.77	21J
AY.79	21J
AY.78	21J
AY.80	21J
AY.86	21J
AY.87	21J
AY.84	21J
AY.83	21J
AY.88	21J
AY.91	21J
AY.90	21J
AY.85	21J
AY.93	21J
AY.92	21J
AY.91.1	21J
AY.75.2	21I
AY.82	21J
AY.98	21J
AY.94	21J
AY.99	21J
AY.95	21J
AY.99.1	21J
AY.98.1	21J
AY.109	21J
AY.105	21J
AY.104	21J
AY.106	21J
AY.100	21J
AY.102	21J
AY.101	21J
AY.103	21J
AY.108	21J
AY.107	21J
AY.113	21J
AY.110	21J
AY.112	21J
AY.99.2	21J
AY.111	21J
AY.114	21J
AY.119	21J
AY.118	21J
AY.116	21J
AY.116.1	21J
AY.117	21J
AY.120	21J
AY.120.1	21J
AY.119.1	21J
AY.120.2.1	21J
AY.120.2	21J
AY.122	21J
AY.121	21J
AY.121.1	21J
AY.119.2	21J
AY.122.2	21J
AY.122.1	21J
AY.122.3	21J
AY.123	21J
AY.124	21J
AY.124.1	21J
AY.128	21J
AY.125	21J
AY.127	21J
AY.126	21J
AZ.1	20B
AZ.5	20B
AZ.4	20B
AY.127.1	21J
AY.131	21J
AY.133	21I
AZ.2	20B
AY.132	21J
AY.129	21J
B.1	20A
AZ.3	20B
B	19A
B.1.1.8	20B
B.1.1	20B
B.1.1.44	20B
B.1.1.1	20D
B.1.1.7	20I
B.1.1.10	20B
B.1.1.37	20B
B.1.1.33	20B
B.1.1.28	20B
B.1.1.47	20B
B.1.1.27	20B
B.1.1.46	20B
B.1.1.39	20B
B.1.1.25	20B
B.1.1.50	20B
B.1.1.57	20B
B.1.1.51	20B
B.1.1.83	20B
B.1.1.63	20B
B.1.1.67	20B
B.1.1.70	20B
B.1.1.135	20B
B.1.1.117	20B
B.1.1.171	20B
B.1.1.115	20B
B.1.1.111	20B
B.1.1.121	20B
B.1.1.141	20B
B.1.1.101	20B
B.1.1.133	20B
B.1.1.153	20B
B.1.1.161	20B
B.1.1.54	20B
B.1.1.99	20B
B.1.1.159	20B
B.1.1.163	20B
B.1.1.61	20B
B.1.1.170	20B
B.1.1.174	20B
B.1.1.192	20B
B.1.1.176	20B
B.1.1.203	20B
B.1.1.189	20B
B.1.1.220	20B
B.1.1.198	20B
B.1.1.216	20B
B.1.1.186	20B
B.1.1.205	20B
B.1.1.207	20B
B.1.1.228	20B
B.1.1.214	20B
B.1.1.241	20B
B.1.1.232	20B
B.1.1.181	20B
B.1.1.269	20B
B.1.1.243	20B
B.1.1.274	20B
B.1.1.265	20B
B.1.1.263	20B
B.1.1.253	20B
B.1.1.277	20B
B.1.1.291	20B
B.1.1.301	20B
B.1.1.294	20B
B.1.1.298	20B
B.1.1.297	20B
B.1.1.284	20B
B.1.1.279	20B
B.1.1.312	20B
B.1.1.305	20B
B.1.1.231	20B
B.1.1.306	20B
B.1.1.307	20B
B.1.1.315	20B
B.1.1.311	20B
B.1.1.316	20B
B.1.1.369	20B
B.1.1.317	20B
B.1.1.318	20B
B.1.1.329	20B
B.1.1.348	20B
B.1.1.359	20B
B.1.1.360	20B
B.1.1.354	20B
B.1.1.368	20B
B.1.1.326	20A
B.1.1.332	20B
B.1.1.351	20B
B.1.1.302	20B
B.1.1.371	20B
B.1.1.397	20B
B.1.1.378	20B
B.1.1.376	20B
B.1.1.375	20D
B.1.1.391	20B
B.1.1.398	20B
B.1.1.382	20B
B.1.1.464	20B
B.1.1.432	20B
B.1.1.406	20B
B.1.1.434	20B
B.1.1.404	20B
B.1.1.416	20B
B.1.1.413	20B
B.1.1.420	20B
B.1.1.418	20B
B.1.1.433	20B
B.1.1.442	20B
B.1.1.485	20B
B.1.1.374	20B
B.1.1.462	20B
B.1.1.486	20B
B.1.1.487	20B
B.1.1.521	20B
B.1.1.500	20B
B.1.1.507	20B
B.1.8	20A
B.1.9	20A
B.1.22	20A
B.1.36	20A
B.1.36.1	20A
B.1.3	20C
B.1.1.525	20B
B.1.1.519	20B
B.1.2	20G
B.1.1.528	20B
